Rank,Game,Current,Peak,App ID,Player Hours,Genres,Release Date,Days Since Release,Tags,Recent Review Score,Recent Review Count,Total Review Score,Total Review Count
1.,Counter-Strike 2,779934,1783434,730,732411188,"['Action', 'Free To Play']","Aug 21, 2012",4581,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']",8,95079,8,8623926
2.,Monster Hunter Wilds,434323,1179869,2246340,53695023,"['Action', 'Adventure', 'RPG']","Feb 27, 2025",8,"['Hunting', 'Action', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Dating Sim', 'Dragons', 'Open World', 'Character Customization', 'Third Person', 'Action RPG', 'Adventure', 'Fantasy', 'Cute', 'RPG', 'Singleplayer', 'Atmospheric', 'Great Soundtrack', 'Underwater', 'Sexual Content']",5,81566,5,81566
3.,Dota 2,295083,708043,570,306960197,"['Action', 'Strategy', 'Free To Play']","Jul 9, 2013",4259,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",8,29345,8,2450692
4.,Marvel Rivals,217617,437272,2767030,152905909,"['Action', 'Free To Play']","Dec 5, 2024",92,"['Free to Play', 'Multiplayer', 'Hero Shooter', 'Third-Person Shooter', 'Superhero', 'PvP', 'Action', 'Team-Based', 'Competitive', 'Shooter', '3D', 'Strategy', 'Co-op', 'Online Co-Op', 'Sci-fi', 'Third Person', 'Sexual Content', 'MOBA', 'FPS', 'Cyberpunk']",6,39200,8,239150
5.,Rust,148474,232431,252490,87659990,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']","Feb 8, 2018",2584,"['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Shooter', 'Co-op', 'Online Co-Op', 'Indie', 'Post-apocalyptic', 'Early Access', 'Simulation']",8,16960,8,991966
6.,PUBG: BATTLEGROUNDS,109233,818843,578080,233188316,"['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']","Dec 21, 2017",2633,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']",5,16630,5,2511912
7.,Tom Clancy's Rainbow Six Siege,105760,116534,359550,46132980,['Action'],"Dec 1, 2015",3384,"['FPS', 'PvP', 'eSports', 'Multiplayer', 'Tactical', 'Shooter', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'Co-op', 'War', 'Realistic', 'Destruction', 'Difficult', '3D']",6,11740,8,1165802
8.,R.E.P.O.,72473,90263,3241660,6844391,"['Action', 'Early Access']","Feb 26, 2025",9,"['Early Access', 'Horror', 'Online Co-Op', 'Co-op', 'Physics', '3D', 'Action Roguelike', 'Stealth', 'Action', 'Multiplayer', 'Procedural Generation', 'Comedy', 'Post-apocalyptic', 'Perma Death', 'First-Person', 'Exploration', 'Sci-fi', 'Survival', 'Dystopian', 'Robots']",9,11800,9,11800
9.,Banana,65455,158400,2923300,76286760,"['Adventure', 'Casual', 'Simulation', 'Strategy', 'Free To Play']","Apr 23, 2024",318,"['Free to Play', 'Clicker', 'Singleplayer', '2D', 'Casual', 'Family Friendly', 'Idler', 'Funny', 'Simulation', 'Colorful', 'Arcade', 'Dating Sim', 'Hidden Object', 'Pixel Graphics', 'Mystery', 'First-Person', 'Fantasy', 'Crafting', 'Anime', 'Open World']",8,1702,8,87246
10.,Grand Theft Auto V Legacy,64392,199199,271590,80224380,"['Action', 'Adventure']","Apr 13, 2015",3616,"['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Mature', 'Shooter', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Sandbox', 'Atmospheric', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']",8,18227,8,1802618
