,Tag,Importance
6,3D,0.08448884983055902
152,Immersive,0.03446326884310155
315,Underwater,0.03129851494851952
170,MOBA,0.026275080545418387
263,Singleplayer,0.0249477354287127
77,Creature Collector,0.024727614055769717
222,Political Sim,0.021254931807801847
86,Dating Sim,0.02004390326480389
124,Free to Play,0.019370607640463597
109,Extraction Shooter,0.0192311874993934
149,Hunting,0.017683561933448874
283,Stylized,0.017499845791183036
145,Hidden Object,0.015477063068340966
96,Drama,0.015258944588445652
256,Sci-fi,0.015204553338224768
56,Character Customization,0.015048721544769033
284,Superhero,0.013900243429486779
38,Battle Royale,0.012978838261961455
95,Dragons,0.011852249897081543
155,Inventory Management,0.011630647748376329
45,Building,0.011392986738476597
125,Funny,0.010862172532715096
248,Robots,0.01078447357527103
233,PvP,0.010758140204439904
207,Online Co-Op,0.010253914233234478
26,Anime,0.009739694093642105
102,Dystopian,0.009372690117226494
306,Trading,0.009042874016395348
72,Competitive,0.008809873226979834
287,Survival,0.008496042594372692
208,Open World,0.008418607392504931
297,Third-Person Shooter,0.008187616553942728
112,Fantasy,0.0076753250453626
103,Early Access,0.007552356096928361
296,Third Person,0.007196338778922829
180,Military,0.006936568566423273
270,Souls-like,0.006729825671377015
31,Atmospheric,0.006515007523409611
139,Hack and Slash,0.006429697370818769
14,Action,0.006200214696469775
64,Co-op,0.006105004762624466
118,First-Person,0.0058253851621274675
190,Multiplayer,0.005568816369536473
137,Great Soundtrack,0.0055069924835510105
92,Difficult,0.0054850071445007005
12,6DOF,0.005481081278204947
280,Story Rich,0.005388835046363755
289,Swordplay,0.005323494534717992
174,Massively Multiplayer,0.005318957113996752
255,Sandbox,0.0052579235593812465
18,Action-Adventure,0.005250812433091568
87,Deckbuilding,0.005130164737785989
143,Hero Shooter,0.0050181527367864735
23,Alternate History,0.004982411579203198
261,Side Scroller,0.004879843807251384
185,Moddable,0.004821234845076348
106,Emotional,0.0047728466342046695
160,LGBTQ+,0.004765308560905216
175,Mature,0.0047236298535355895
71,Comedy,0.004668591359940069
324,War,0.004613788613329764
20,Adventure,0.004419772120166611
226,Procedural Generation,0.004351868159774343
259,Shooter,0.00430126357829546
108,Exploration,0.004247086919045398
281,Strategy,0.004213206008260956
262,Simulation,0.004159105035925086
76,Crafting,0.004145532325292756
294,Team-Based,0.004137579612873311
241,Realistic,0.004127922166141437
98,Dungeon Crawler,0.004096750819560568
57,Choices Matter,0.004014681452714062
70,Combat,0.003903804946605542
53,Casual,0.0038593092198527285
110,FPS,0.003854077671687457
232,PvE,0.003825720250615368
235,RPG,0.003789471133933216
82,Dark,0.0037662020528205125
15,Action RPG,0.0037564426231750975
84,Dark Fantasy,0.0035123683982569566
333,eSports,0.003434472715524637
275,Spectacle fighter,0.003430310813842604
258,Sexual Content,0.0034273086493912756
176,Mechs,0.0034143281540032124
165,Loot,0.00339099605494303
3,2D,0.0032620592985843867
295,Text-Based,0.0032459822504782797
144,Hex Grid,0.003219809719431948
224,Post-apocalyptic,0.0031942712500157015
313,Turn-Based Tactics,0.003157000801678912
73,Controller,0.0031530144221555744
115,Fast-Paced,0.003063498870107465
114,Farming Sim,0.002960133008525005
80,Cute,0.0028506941804441618
291,Tactical,0.002743294440528241
317,VR,0.0027427303626382103
130,Games Workshop,0.002724073828739345
204,Nudity,0.002706790568042427
244,Replay Value,0.0026934097383899186
147,Horror,0.002692301965804571
301,Top-Down,0.0026241087630681764
166,Looter Shooter,0.0026228145946687086
154,Indie,0.0025735169494317785
278,Stealth,0.0025504653637567387
322,Voxel,0.0025345032165979917
150,Idler,0.0025036770021372025
218,Pixel Graphics,0.002388390468952044
49,Card Battler,0.002318202973551172
304,Tower Defense,0.002301243402052945
43,Board Game,0.002286911031278737
59,Cinematic,0.002185567336821785
214,Perma Death,0.002127411656934979
81,Cyberpunk,0.0021215321055952623
50,Card Game,0.0021160849391180635
167,Lore-Rich,0.002106042425439944
34,Automation,0.00199693436831824
209,Open World Survival Craft,0.001971924226086403
157,Isometric,0.001940957248183219
320,Violent,0.001911869307420269
151,Illuminati,0.001901654525701858
21,Agriculture,0.001889499360639941
325,Wargame,0.0018739879612441341
282,Strategy RPG,0.0018607114451700785
10,4 Player Local,0.0018158815342994006
251,Roguelite,0.0017866084967927396
194,Mystery,0.0017779705441744562
316,Utilities,0.0017764839823642253
36,Base Building,0.0016681148087205196
24,America,0.0015362974567168367
104,Economy,0.001483386542728387
48,Capitalism,0.0014294998187211856
245,Resource Management,0.0013857964329522677
213,Party-Based RPG,0.0013765187024767924
172,Management,0.001364184731829059
5,2D Platformer,0.0013259720325794627
111,Family Friendly,0.0012548905596554245
250,Roguelike Deckbuilder,0.0012269056819036329
193,Musou,0.001190962147556844
249,Roguelike,0.0011859716229020518
277,Sports,0.0011711707418930748
229,Psychological Horror,0.0011656928562151208
127,Gambling,0.0011240377285605834
238,Real Time Tactics,0.0011147163612377402
234,Quick-Time Events,0.0011021037945561538
153,Immersive Sim,0.0010822965335437818
171,Magic,0.0010707260176976788
242,Relaxing,0.0010168867498521732
116,Female Protagonist,0.001010270729827087
37,Basketball,0.0010050490452630887
177,Medieval,0.0009714347654076587
219,Platformer,0.0009566741915347868
148,Horses,0.0009351892041056268
191,Multiple Endings,0.0009309920798309532
134,Gore,0.0009256583300195
17,Action Roguelike,0.0008759269927926816
146,Historical,0.0008582108337193173
221,Political,0.0008526196658225979
211,Parkour,0.0008160946095800184
169,MMORPG,0.0008023539452727733
227,Psychedelic,0.0007956965086418613
0,1980s,0.0007444415105355993
195,Mythology,0.0007267176781822186
216,Physics,0.000718045811731829
27,Arcade,0.0006933354125311532
90,Destruction,0.0006919005444685235
173,Martial Arts,0.0006746589421687633
69,Colorful,0.0006745695074397051
60,City Builder,0.0006625800763328969
198,Nature,0.0006609360548782004
240,Real-Time with Pause,0.0006320690923419521
117,Fighting,0.0006200281120641501
63,Clicker,0.0006097842631276726
51,Cartoon,0.000594753072117376
272,Space,0.0005946329046874954
163,Local Co-Op,0.000579789865989633
162,Life Sim,0.0005782813767009279
11,4X,0.0005685715025592796
310,Turn-Based,0.0005573789624280655
78,Crime,0.0005513235049808607
126,Futuristic,0.0005463961173297517
237,Racing,0.0005442758122953477
158,JRPG,0.0005401069029105983
66,Cold War,0.000530534627984449
293,Tanks,0.0005289054469681456
332,Zombies,0.0005152756878903699
311,Turn-Based Combat,0.0005148718586321189
328,Western,0.0005050482640205416
290,Tabletop,0.000494912822260105
161,Level Editor,0.0004944014881520883
312,Turn-Based Strategy,0.0004913740606285942
128,Game Development,0.00048209811464260176
22,Aliens,0.0004802721632385988
52,Cartoony,0.0004782429542678383
268,Software,0.000461888729066324
223,Politics,0.00045444698430314144
326,Warhammer 40K,0.0004435881540667043
61,Class-Based,0.00044245315353561585
292,Tactical RPG,0.00043845716615888543
93,Dinosaurs,0.0004266512534036872
58,Choose Your Own Adventure,0.0004203070990914522
122,Football (Soccer),0.00039969967787032595
164,Local Multiplayer,0.00036583348550090275
230,Puzzle,0.00036251799271014567
323,Walking Simulator,0.0003547926035188967
85,Dark Humor,0.00035062854244228225
288,Survival Horror,0.0003454140100492102
136,Grand Strategy,0.0003419333460162718
309,Transportation,0.0003191382552368533
236,RTS,0.0003170656923714252
9,3D Vision,0.00030702389621404895
192,Music,0.0003017971177951075
28,Arena Shooter,0.00030025911693484607
212,Party Game,0.0002844822746207387
307,Trading Card Game,0.00028409555300643806
331,World War II,0.00028334621483772695
19,Addictive,0.00027714631452359676
25,Animation & Modeling,0.00026643383600699735
243,Remake,0.0002653928966721466
40,Beautiful,0.0002613221406948115
303,Touch-Friendly,0.00026010566278711117
273,Space Sim,0.0002586790161818942
8,3D Platformer,0.0002482775412160764
140,Hand-drawn,0.00024660926910193926
186,Modern,0.00024338425164584332
54,Cats,0.00023950060597135024
267,Social Deduction,0.00022764144394176914
184,Mod,0.00022063369360059392
105,Education,0.00021927139204437659
100,Dwarf,0.00016902160378799814
132,God Game,0.00016686179186536871
269,Software Training,0.0001641511702822396
97,Driving,0.00016040517044770664
220,Point & Click,0.00014894524880513214
201,Ninja,0.00014846721790380275
329,Wholesome,0.00014504897391249996
178,Memes,0.0001419831366325052
215,Photo Editing,0.0001359869736525287
131,Gaming,0.00013469883637696797
252,Romance,0.00013465933837221732
94,Diplomacy,0.0001258191556783101
141,Heist,0.00011950621358250776
7,3D Fighter,0.00010691655342436209
196,NSFW,0.00010480444466062395
16,Action RTS,0.00010191935189343302
321,Visual Novel,9.91659051662401e-05
75,Cozy,9.513165235109821e-05
285,Supernatural,8.245310712941437e-05
4,2D Fighter,7.051886331346816e-05
88,Demons,7.013741192259554e-05
182,Minimalist,6.458684730327037e-05
314,Tutorial,6.334677221655474e-05
29,Artificial Intelligence,6.290401630353752e-05
200,Naval Combat,5.243564938030206e-05
89,Design & Illustration,4.862490477615651e-05
119,Fishing,4.783572615659223e-05
65,Co-op Campaign,4.5330406863909617e-05
35,Automobile Sim,4.368448263072939e-05
257,Score Attack,3.9732499874942036e-05
159,Kickstarter,3.4572578923056385e-05
62,Classic,3.332285967145972e-05
156,Investigation,3.212103965378194e-05
83,Dark Comedy,2.9453060656359202e-05
197,Narration,2.8929901750672783e-05
228,Psychological,2.8082618969963412e-05
274,Spaceships,2.7262563915098117e-05
276,Split Screen,2.6742989832161818e-05
246,Retro,2.6671006715545294e-05
68,Colony Sim,2.5855601606874027e-05
79,Crowdfunded,2.5763692525339002e-05
44,Boomer Shooter,2.5752891170124285e-05
42,Blood,2.3093513867579294e-05
318,Vehicular Combat,2.279191283609091e-05
202,Nonlinear,2.175825973922249e-05
33,Auto Battler,2.10385087793547e-05
181,Minigames,2.0912423030178848e-05
138,Gun Customization,1.964334133212499e-05
206,Old School,1.9262207488263363e-05
225,Precision Platformer,1.7929288614331606e-05
217,Pirates,1.4643134687210236e-05
123,Foreign,1.3503432398970683e-05
231,Puzzle Platformer,1.3247737472447195e-05
302,Top-Down Shooter,1.0903397487726307e-05
265,Sniper,1.0318088608576268e-05
254,Sailing,9.167112146154644e-06
91,Detective,8.68270382886254e-06
179,Metroidvania,8.030089844302224e-06
120,Flight,6.7845130424896245e-06
32,Audio Production,6.34449691546407e-06
142,Hentai,6.1113781911460325e-06
298,Thriller,3.4367937398096044e-06
247,Rhythm,2.8248982605903103e-06
253,Runner,2.5148047681557227e-06
47,CRPG,2.46660763253167e-06
264,Skateboarding,2.1101867991834045e-06
121,Football (American),1.924253347507037e-06
199,Naval,1.64706713478683e-06
305,TrackIR,1.3678280201188754e-06
271,Soundtrack,5.9645019739138e-07
327,Web Publishing,5.55471936677852e-07
319,Video Production,4.252511753808634e-07
55,Character Action Game,2.404731624913723e-07
30,Assassin,2.0091083141487498e-07
46,Bullet Hell,1.8326082240383149e-07
67,Collectathon,2.4672692186371415e-08
183,Mining,2.4441078382934863e-10
189,Mouse only,0.0
107,Epic,0.0
